,ano,ativo,peso
0,2026,ABEV3,0.167
1,2026,BRAP4,0.02
2,2026,CSMG3,0.1971
3,2026,PETR3,0.02
4,2026,PETR4,0.139
5,2026,PRIO3,0.1647
6,2026,SLCE3,0.0871
7,2026,USIM5,0.0471
8,2026,VALE3,0.0899
9,2026,WEGE3,0.0682
10,2025,BBSE3,0.2
11,2025,BRAV3,0.0604
12,2025,COGN3,0.0829
13,2025,CPFE3,0.1783
14,2025,EMBJ3,0.1788
15,2025,EZTC3,0.02
16,2025,PETR3,0.02
17,2025,PETR4,0.1727
18,2025,PSSA3,0.02
19,2025,SUZB3,0.0667
20,2024,BBDC4,0.02
21,2024,CSMG3,0.0384
22,2024,CXSE3,0.2
23,2024,EMBJ3,0.1902
24,2024,ITUB3,0.1769
25,2024,PETR4,0.0598
26,2024,POMO4,0.02
27,2024,SUZB3,0.0797
28,2024,UGPA3,0.1002
29,2024,USIM5,0.1147
30,2023,BBSE3,0.2
31,2023,BRAP4,0.2
32,2023,CXSE3,0.02
33,2023,EMBJ3,0.2
34,2023,KLBN11,0.02
35,2023,POMO4,0.0738
36,2023,SAPR11,0.0768
37,2023,SUZB3,0.02
38,2023,VALE3,0.02
39,2023,WEGE3,0.1694
40,2022,BBSE3,0.1784
41,2022,BEEF3,0.037
42,2022,BRAP4,0.2
43,2022,EGIE3,0.0822
44,2022,ISAE4,0.02
45,2022,PETR3,0.0371
46,2022,PETR4,0.0253
47,2022,SMTO3,0.02
48,2022,TAEE11,0.2
49,2022,VIVT3,0.2
50,2021,BRAV3,0.0789
51,2021,BRKM5,0.1102
52,2021,CSNA3,0.1017
53,2021,EMBJ3,0.0834
54,2021,ISAE4,0.0779
55,2021,PRIO3,0.0388
56,2021,SLCE3,0.2
57,2021,SUZB3,0.0892
58,2021,TAEE11,0.2
59,2021,VALE3,0.02
60,2020,CPLE3,0.2
61,2020,ENEV3,0.02
62,2020,KLBN11,0.02
63,2020,MGLU3,0.02
64,2020,RADL3,0.1
65,2020,SLCE3,0.2
66,2020,SUZB3,0.02
67,2020,TAEE11,0.02
68,2020,VIVT3,0.2
69,2020,WEGE3,0.2
70,2019,BPAC11,0.0553
71,2019,CPFE3,0.1441
72,2019,ENEV3,0.0815
73,2019,IRBR3,0.1738
74,2019,ISAE4,0.1398
75,2019,JHSF3,0.0441
76,2019,PRIO3,0.0475
77,2019,SAPR11,0.1991
78,2019,SUZB3,0.0287
79,2019,TOTS3,0.0861
80,2018,BPAC11,0.0746
81,2018,CVCB3,0.02
82,2018,ENGI11,0.1738
83,2018,IRBR3,0.2
84,2018,PSSA3,0.0486
85,2018,RENT3,0.0929
86,2018,SLCE3,0.139
87,2018,SUZB3,0.1102
88,2018,TEND3,0.0777
89,2018,VALE3,0.0631
90,2017,AZZA3,0.059
91,2017,BRAP4,0.068
92,2017,CPFE3,0.2
93,2017,CSMG3,0.0566
94,2017,ENEV3,0.0465
95,2017,MGLU3,0.0401
96,2017,MOVI3,0.0982
97,2017,PRIO3,0.1749
98,2017,SLCE3,0.0852
99,2017,SUZB3,0.1716
100,2016,BRKM5,0.1232
101,2016,CSAN3,0.0732
102,2016,DIRR3,0.0542
103,2016,ENGI11,0.0308
104,2016,FLRY3,0.1504
105,2016,HYPE3,0.1742
106,2016,MGLU3,0.0357
107,2016,MRVE3,0.2
108,2016,SBSP3,0.0692
109,2016,SMTO3,0.0891
